id,name,details_url,other_img_url,sculptor,year,country,location,original,skip,servant_partner
48,Alexander the Great,https://equestrianstatue.org/alexander-the-great-10/,,Unknown,,Cyprus (Eur.part),Paphos,,False,10
49,"Alexandrine, Princess of Prussia",https://equestrianstatue.org/alexandrine-princes-prussia/,,Krämmer and Lassen,2003,Germany,Ludwigslust,,False,10
50,"Alfonso Ferrero, Cavaliere La Màrmora",https://equestrianstatue.org/alfonso-ferrero-cavaliere-la-marmora/,,"Grimaldi, Stanislao",1891,Italy,Turin,,False,10
152,"Benkovski, Georgi",https://equestrianstatue.org/benkovski-georgi/,,"Tanev, Hristo",1976,Bulgaria,Koprivshtitsa,,False,10
11,Ahmed Gurey,https://equestrianstatue.org/ahmed-gurey/,,Unknown,,Somalia,Mogadishu,,False,10
54,Alfonso Xll,https://equestrianstatue.org/alfonso-xll/,,"Benlliure, Mariano",1909,Spain,Madrid,,False,10
168,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-5/,,"Frémiet, Emmanuel",1910,Colombia,Bogota,,False,10
13,"al-Assad, Bassel",https://equestrianstatue.org/al-assad-bassel/,,Unknown,,Syria,Aleppo,,False,10
2,Abdelkader ibn Muhieddine,https://equestrianstatue.org/abdelkader-ibn-muhieddine/,,Unknown,1987,Algeria,Alger,,False,10
3,Ablai,https://equestrianstatue.org/ablai/,,Unknown,,Kazakhstan,Almaty,,False,10
183,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-23/,,"Frémiet, Emmanuel",1925,Bolivia,La Paz,"Bogota, Columbia",False,10
191,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-33/,,"Frémiet, Emmanuel",,Venezuela,Barcelona,"Bogota, Colombia",False,10
106,"Atatürk, Mustafa Kemal",https://equestrianstatue.org/atat-rk-mustafa-kemal-11/,,"Canonica, Pietro",1932,Turkey,Izmir,,False,10
105,"Atatürk, Mustafa Kemal",https://equestrianstatue.org/atat-rk-mustafa-kemal-8/,,Unknown,,Turkey,Bursa,,False,10
102,"Atatürk, Mustafa Kemal",https://equestrianstatue.org/atat-rk-mustafa-kemal-5/,,"Yurdanur, Metin",2001,Turkey,Ankara,,False,10
101,"Atatürk, Mustafa Kemal",https://equestrianstatue.org/atat-rk-mustafa-kemal-4/,,"Canonica, Pietro",1927,Turkey,Ankara,,False,10
99,"Atatürk, Mustafa Kemal",https://equestrianstatue.org/atat-rk-mustafa-kemal/,,"Yurdanur, Metin",1996,Japan,Kushimoto,,False,10
65,Amursanaa,https://equestrianstatue.org/amursanaa/,,Unknown,,Mongolia,Khovd,,False,10
38,Alexander II,https://equestrianstatue.org/alexander-ii/,,"Zocchi, Arnaldo",1907,Bulgaria,Sofia,,False,10
206,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-48/,,"Canonica, Pietro",1976,Mexico,Mexico city,"Rome, Italy",False,10
96,Ashot III,https://equestrianstatue.org/ashot-ii/,,"Arakelyan, Ferdinant",2008,Armenia,Gyumri,,False,10
130,"Barrios, José Maria Reyna",https://equestrianstatue.org/barrios-jos-maria-reyna/,,Unknown,1905,Guatemala,Guatemala City,,False,10
32,"Alberto, Carlo",https://equestrianstatue.org/alberto-carlo-2/,,"Romanelli, Raffaello",1900,Italy,Rome,,False,10
33,"Alberto, Carlo",https://equestrianstatue.org/alberto-carlo-3/,,"Marochetti, Carlo",1861,Italy,Turin,,False,10
